itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc06g059740.2.1,2.500165976,4.893951973,1.54E-07,3.74E-05,SL2.40ch06,33996647,33998846,"Alcohol dehydrogenase 2 (AHRD V1 **** Q84UY3_PETHY); contains Interpro domain(s)  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing ",AT1G77120.1 ,"ADH1, ADH, ATADH, ATADH1 | ADH1 (ALCOHOL DEHYDROGENASE 1); alcohol dehydrogenase | chr1:28975509-28977216 FORWARD", 631 bits (1627),0, 305/383 (79%)
Solyc09g075940.2.1,3.39699719,1.314831738,1.57E-07,3.75E-05,SL2.40ch09,63056941,63059572,Primary amine oxidase (AHRD V1 ***- B9RSR2_RICCO); contains Interpro domain(s)  IPR000269  Copper amine oxidase ,AT4G14940.1 ,ATAO1 | ATAO1 (ARABIDOPSIS THALIANA AMINE OXIDASE 1); amine oxidase/ copper ion binding | chr4:8541879-8544304 FORWARD, 751 bits (1939),0, 355/644 (55%)
Solyc10g054910.1.1,2.084481794,2.442220767,1.64E-07,3.87E-05,SL2.40ch10,51540879,51541397,"Peptidyl-prolyl cis-trans isomerase (AHRD V1 ***- Q9XF12_SOLTU); contains Interpro domain(s)  IPR002130  Peptidyl-prolyl cis-trans isomerase, cyclophilin-type ",AT2G16600.1 ,ROC3 | ROC3; peptidyl-prolyl cis-trans isomerase | chr2:7200862-7201383 FORWARD, 300 bits (768),3.00E-82, 138/171 (80%)
Solyc08g066490.2.1,0.56985121,6.304957383,1.70E-07,3.96E-05,SL2.40ch08,52383161,52387655,"Receptor like kinase, RLK",AT2G25790.1 ,"leucine-rich repeat transmembrane protein kinase, putative | chr2:11000631-11004031 FORWARD", 909 bits (2349),0, 495/939 (52%)
Solyc05g056360.1.1,1.87265519,2.71314925,2.01E-07,4.61E-05,SL2.40ch05,64845418,64847913,MEI2-like RNA binding protein (AHRD V1 *--- Q652K6_ORYSJ); contains Interpro domain(s)  IPR007201  RNA recognition motif 2 ,AT1G37140.1 ,MCT1 | MCT1 (mei2 C-Terminal RRM only like 1); RNA binding | chr1:14170351-14172040 REVERSE, 124 bits (311),9.00E-29, 62/136 (45%)
Solyc08g075210.1.1,-0.873606028,4.912525563,2.12E-07,4.81E-05,SL2.40ch08,56497821,56499095,Acyltransferase-like protein (AHRD V1 **-- Q589X7_TOBAC); contains Interpro domain(s)  IPR003480  Transferase ,AT3G30280.1 ,transferase family protein | chr3:11914366-11915697 FORWARD, 214 bits (545),8.00E-56, 148/443 (33%)
Solyc07g066250.1.1,1.534655005,2.967471729,2.17E-07,4.85E-05,SL2.40ch07,64958148,64959434,GRAS family transcription factor (Fragment) (AHRD V1 **-* B1Q3B1_BRACM); contains Interpro domain(s)  IPR005202  GRAS transcription factor ,AT1G55580.1 ,"LAS, SCL18 | LAS (Lateral Suppressor); transcription factor | chr1:20764106-20765443 FORWARD", 390 bits (1002), e-109, 215/405 (53%)
Solyc08g080470.2.1,0.998963309,6.950830445,2.25E-07,4.93E-05,SL2.40ch08,60928845,60932810,Calmodulin binding protein (AHRD V1 **-* B6STZ4_MAIZE); contains Interpro domain(s)  IPR000048  IQ calmodulin-binding region ,AT4G23060.1 ,IQD22 | IQD22 (IQ-domain 22); calmodulin binding | chr4:12087283-12090408 FORWARD, 233 bits (595),2.00E-61, 220/526 (41%)
Solyc03g082840.2.1,1.751786708,3.116548266,2.26E-07,4.93E-05,SL2.40ch03,46231932,46233258,"Dof zinc finger protein 2 (AHRD V1 *-*- A5HWF1_HORVD); contains Interpro domain(s)  IPR003851  Zinc finger, Dof-type ",AT3G61850.3 ,DAG1 | DAG1 (dof affecting germination 1); DNA binding / transcription factor | chr3:22896212-22897150 FORWARD, 154 bits (389),5.00E-38, 111/262 (42%)
Solyc01g010150.2.1,1.502587618,5.937907308,2.30E-07,4.95E-05,SL2.40ch01,4938915,4942653,"Unknown protein DS12 from 2D-PAGE of leaf, chloroplastic (AHRD V1 *--- UP12_ORYSJ); contains Interpro domain(s)  IPR002912  Amino acid-binding ACT ",AT1G69040.2 ,ACR4 | ACR4 (ACT REPEAT 4); amino acid binding | chr1:25957843-25960079 FORWARD, 682 bits (1759),0, 336/454 (74%)
Solyc02g093280.2.1,1.497638669,5.906086987,2.54E-07,5.40E-05,SL2.40ch02,48767476,48769813,Transcription factor EB (AHRD V1 *-*- TFEB_HUMAN); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ,AT4G36930.1 ,SPT | SPT (SPATULA); DNA binding / transcription factor | chr4:17414167-17415945 FORWARD, 155 bits (391),5.00E-38, 104/204 (50%)
Solyc03g117230.1.1,3.843865779,1.206883721,2.66E-07,5.58E-05,SL2.40ch03,60480763,60481521,"Ethylene responsive transcription factor 12 (AHRD V1 *-*- C0J9I3_9ROSA); contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF, DNA-binding ",AT1G80580.1 ,ethylene-responsive element-binding family protein | chr1:30293558-30294328 FORWARD, 107 bits (266),1.00E-23, 69/121 (57%)
Solyc01g095740.2.1,-0.66354964,7.082226424,2.71E-07,5.58E-05,SL2.40ch01,78698484,78705574,"ATP-dependent RNA helicase DBP4 (AHRD V1 *-** C1GZM0_PARBA); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal ",AT5G08610.1 ,DEAD box RNA helicase (RH26) | chr5:2790341-2794059 FORWARD, 879 bits (2270),0, 490/891 (54%)
Solyc09g082580.2.1,1.016241568,5.116046335,2.72E-07,5.58E-05,SL2.40ch09,63719760,63723497,"Os12g0604200 protein (Fragment) (AHRD V1 *-*- Q0IM29_ORYSJ); contains Interpro domain(s)  IPR008546  Protein of unknown function DUF828, plant ",AT3G22810.1 ,phosphoinositide binding | chr3:8068595-8071559 FORWARD, 575 bits (1483), e-164, 321/468 (68%)
Solyc02g089160.2.1,0.948253476,4.574059574,2.83E-07,5.69E-05,SL2.40ch02,45622003,45624825,Cytochrome P450,AT5G38970.1 ,"BR6OX1, ATBR6OX, CYP85A1, BR6OX | BR6OX1 (BRASSINOSTEROID-6-OXIDASE 1); monooxygenase/ oxygen binding | chr5:15594935-15597774 REVERSE", 678 bits (1750),0, 316/465 (67%)
Solyc03g031970.2.1,-0.422407653,8.153005273,2.84E-07,5.69E-05,SL2.40ch03,8739906,8747501,Auxin response factor 8-1 (AHRD V1 **** E0A8P3_SOLLC); contains Interpro domain(s)  IPR010525  Auxin response factor ,AT5G37020.1 ,"ARF8, ATARF8 | ARF8 (AUXIN RESPONSE FACTOR 8); transcription factor | chr5:14630151-14634106 FORWARD", 1038 bits (2685),0, 558/829 (67%)
Solyc07g006380.2.1,-1.239508239,10.31775582,3.06E-07,6.05E-05,SL2.40ch07,1207489,1208297,Defensin-like protein (AHRD V1 ***- Q948T3_PYRPY); contains Interpro domain(s)  IPR008177  Gamma Purothionin ,.,No significant hit found,.,.,.
Solyc01g044250.1.1,-0.787716302,6.730769322,3.34E-07,6.41E-05,SL2.40ch01,38059864,38060544,Photosystem II CP43 chlorophyll apoprotein (AHRD V1 ***- B8R498_TRISU); contains Interpro domain(s)  IPR000932  Photosystem antenna protein-like ,ATCG00280.1 ,PSBC | chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element. | chrC:33720-35141 FORWARD, 132 bits (332),4.00E-32, 63/68 (92%)
Solyc01g007710.2.1,-0.986572311,7.212411066,3.35E-07,6.41E-05,SL2.40ch01,1898412,1898954,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc02g090730.2.1,1.550550644,3.113365583,3.38E-07,6.41E-05,SL2.40ch02,46830407,46831197,Cell number regulator 1 (AHRD V1 **-- B6TZ45_MAIZE); contains Interpro domain(s)  IPR006461  Protein of unknown function Cys-rich ,AT1G14870.1 ,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to oxidative stress; LOCATED IN: plasma membrane; EXPRESSED IN: callus; CONTAINS InterPro DOMAIN/s: EGF-type aspartate/asparagine hydroxylation conserved site (InterPro:IPR000152), Protein of unknown function Cys-rich (InterPro:IPR006461); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G35525.1); Has 492 Blast hits to 491 proteins in 78 species: Archae - 0; Bacteria - 0; Metazoa - 93; Fungi - 76; Plants - 297; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink). | chr1:5128591-5129458 REVERSE", 162 bits (409),1.00E-40, 77/152 (50%)
Solyc11g063500.1.1,-0.972529324,8.359166973,3.38E-07,6.41E-05,SL2.40ch11,46703675,46703845,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc12g096780.1.1,-1.202271489,4.091391592,3.44E-07,6.44E-05,SL2.40ch12,63898570,63901441,"Mitochondrial trans-2-enoyl-CoA reductase (AHRD V1 **-- A2A846_MOUSE); contains Interpro domain(s)  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing ",AT3G45770.1 ,"oxidoreductase, zinc-binding dehydrogenase family protein | chr3:16805753-16807774 REVERSE", 464 bits (1194), e-131, 217/340 (63%)
Solyc05g051460.2.1,1.063138389,5.17479743,3.72E-07,6.90E-05,SL2.40ch05,60958329,60960538,"Homeobox-leucine zipper protein (AHRD V1 ***- Q9FXN8_ZINEL); contains Interpro domain(s)  IPR003106  Leucine zipper, homeobox-associated ",AT4G40060.1 ,"ATHB16, ATHB-16 | ATHB16 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 16); sequence-specific DNA binding / transcription activator/ transcription factor | chr4:18571682-18572774 REVERSE", 219 bits (557),2.00E-57, 145/336 (43%)
Solyc04g008110.2.1,0.687834706,7.214781492,3.76E-07,6.90E-05,SL2.40ch04,1762165,1770080,Histidine kinase 2 (AHRD V1 **** A3QVR9_LOTJA); contains Interpro domain(s)  IPR006189  CHASE ,AT2G01830.2 ,"WOL, CRE1, WOL1, AHK4, ATCRE1 | WOL (WOODEN LEG); cytokinin receptor/ osmosensor/ phosphoprotein phosphatase/ protein histidine kinase | chr2:363332-368016 REVERSE", 1317 bits (3408),0, 662/973 (68%)
Solyc05g006550.2.1,0.717332347,6.1220674,3.90E-07,7.04E-05,SL2.40ch05,1184571,1188615,Microtubule-associated protein TORTIFOLIA1 (AHRD V1 *--- B6SS76_MAIZE); contains Interpro domain(s)  IPR011989  Armadillo-like helical ,AT1G27210.1 ,binding | chr1:9455669-9457917 REVERSE, 446 bits (1146), e-125, 258/557 (46%)
Solyc08g079700.1.1,0.943219073,4.465545366,3.92E-07,7.04E-05,SL2.40ch08,60343880,60344377,"Zinc finger A20 and AN1 domain-containing stress-associated protein 7 (AHRD V1 ***- SAP7_ARATH); contains Interpro domain(s)  IPR000058  Zinc finger, AN1-type ",AT4G12040.2 ,zinc finger (AN1-like) family protein | chr4:7215341-7215868 FORWARD, 163 bits (412),6.00E-41, 85/178 (47%)
Solyc12g009300.1.1,3.005296293,1.346350942,4.17E-07,7.40E-05,SL2.40ch12,2573935,2577879,"Sucrose synthase (AHRD V1 **** O82693_SOLLC); contains Interpro domain(s)  IPR012820  Sucrose synthase, plants and cyanobacteria  IPR000368  Sucrose synthase ",AT3G43190.1 ,"SUS4, ATSUS4 | SUS4; UDP-glycosyltransferase/ sucrose synthase/ transferase, transferring glycosyl groups | chr3:15179204-15182577 REVERSE", 1367 bits (3538),0, 650/804 (80%)
Solyc01g111660.2.1,0.421590286,8.050932514,4.61E-07,8.10E-05,SL2.40ch01,89627217,89628682,Aquaporin-like protein (AHRD V1 ***- Q8W1A8_PETHY); contains Interpro domain(s)  IPR012269  Aquaporin ,AT4G35100.1 ,"PIP3, PIP3A, PIP2;7, SIMIP | PIP3 (PLASMA MEMBRANE INTRINSIC PROTEIN 3); water channel | chr4:16708672-16709958 FORWARD", 501 bits (1291), e-142, 251/283 (88%)
Solyc10g083640.1.1,-0.484335122,7.331851968,4.77E-07,8.30E-05,SL2.40ch10,62756425,62760116,Splicing factor U2af subunit (AHRD V1 *-*- B6T3Q5_MAIZE); contains Interpro domain(s)  IPR009145  U2 auxiliary factor small subunit ,AT5G42820.1 ,"ATU2AF35B, U2AF35B | U2AF35B; RNA binding / nucleic acid binding / nucleotide binding / zinc ion binding | chr5:17170445-17171296 REVERSE", 368 bits (945), e-102, 200/285 (70%)
Solyc01g017320.1.1,-0.747842951,6.175870474,5.32E-07,9.16E-05,SL2.40ch01,23936803,23937009,Photosystem I P700 chlorophyll a apoprotein A1 (AHRD V1 ***- D3WBY3_9MAGN); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB ,ATCG00350.1 ,PSAA | Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome. | chrC:39605-41857 REVERSE, 124 bits (312),8.00E-30, 58/67 (86%)
Solyc03g114830.2.1,2.394424444,2.333817579,5.49E-07,9.34E-05,SL2.40ch03,58752013,58758339,"MADS box transcription factor (AHRD V1 ***- Q9SBQ1_PETHY); contains Interpro domain(s)  IPR002487  Transcription factor, K-box ",AT5G60910.1 ,"AGL8, FUL | AGL8 (agamous-like 8); transcription factor | chr5:24502736-24506013 REVERSE", 304 bits (778),4.00E-83, 159/244 (65%)
Solyc01g102770.1.1,-0.69575249,6.094745374,5.53E-07,9.34E-05,SL2.40ch01,83256602,83256790,Photosystem II reaction center protein Z (AHRD V1 ***- Q5IHA1_9SOLN); contains Interpro domain(s)  IPR002644  Photosystem II protein PsbZ ,ATCG00300.1 ,"YCF9 | encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II. | chrC:35751-35939 FORWARD", 109 bits (273),3.00E-25, 59/62 (95%)
Solyc12g040790.1.1,-0.838317697,5.440846223,5.80E-07,9.61E-05,SL2.40ch12,40668207,40671881,Menaquinone biosynthesis methyltransferase ubiE (AHRD V1 *-*- UBIE_LISMH); contains Interpro domain(s)  IPR013216  Methyltransferase type 11 ,AT3G18000.1 ,"NMT1, XPL1, PEAMT | XPL1 (XIPOTL 1); methyltransferase/ phosphoethanolamine N-methyltransferase | chr3:6154578-6157331 FORWARD", 829 bits (2142),0, 385/484 (79%)
Solyc11g010230.1.1,0.717579692,7.233751814,5.80E-07,9.61E-05,SL2.40ch11,3290641,3291380,Histone H3 (AHRD V1 ***- A8MRL0_ARATH); contains Interpro domain(s)  IPR000164  Histone H3 ,AT4G40030.2 ,histone H3.2 | chr4:18555840-18556827 REVERSE, 275 bits (702),9.00E-75, 136/136 (100%)
Solyc07g032740.2.1,0.763460808,5.254843291,5.97E-07,9.80E-05,SL2.40ch07,40596737,40601885,Aspartate aminotransferase (AHRD V1 **** A9PHH1_POPTR); contains Interpro domain(s)  IPR000796  Aspartate/other aminotransferase ,AT5G19550.1 ,"ASP2, AAT2 | ASP2 (ASPARTATE AMINOTRANSFERASE 2); L-aspartate:2-oxoglutarate aminotransferase | chr5:6598201-6601597 FORWARD", 613 bits (1582), e-176, 298/404 (73%)
Solyc02g069490.2.1,-0.468794573,8.530792301,6.20E-07,0.000100805,SL2.40ch02,33935481,33937599,"FAD linked oxidase domain protein (AHRD V1 **-- D1VPW7_9ACTO); contains Interpro domain(s)  IPR006094  FAD linked oxidase, N-terminal ",AT3G19820.2 ,"DWF1, DIM, EVE1, DIM1, CBB1 | DWF1 (DWARF 1); calmodulin binding / catalytic | chr3:6879835-6881616 REVERSE", 907 bits (2345),0, 424/564 (75%)
Solyc11g069030.1.1,1.829648204,4.095453201,6.33E-07,0.000101947,SL2.40ch11,50686745,50688284,MYB transcription factor (AHRD V1 *--- Q9T066_ARATH); contains Interpro domain(s)  IPR017930  Myb-type HTH DNA-binding domain ,AT5G57620.1 ,"MYB36, AtMYB36 | MYB36 (myb domain protein 36); DNA binding / transcription factor | chr5:23334904-23336388 FORWARD", 235 bits (599),3.00E-62, 102/119 (85%)
Solyc09g008670.2.1,-2.269889827,1.634238582,6.50E-07,0.00010364,SL2.40ch09,2123840,2127943,"Threonine ammonia-lyase biosynthetic (AHRD V1 **** B1XNT1_SYNP2); contains Interpro domain(s)  IPR000634  Serine/threonine dehydratase, pyridoxal-phosphate-binding site  IPR005787  Threonine dehydratase I ",AT3G10050.1 ,OMR1 | OMR1 (L-O-METHYLTHREONINE RESISTANT 1); L-threonine ammonia-lyase | chr3:3099164-3101741 REVERSE, 537 bits (1384), e-153, 284/511 (55%)
Solyc02g077390.1.1,3.366651422,2.200282592,6.71E-07,0.00010605,SL2.40ch02,36913957,36915889,WUSCHEL-related homeobox 11 (AHRD V1 *-*- B6SN57_MAIZE); contains Interpro domain(s)  IPR001356  Homeobox ,AT5G45980.1 ,"WOX8, STPL | WOX8 (WUSCHEL RELATED HOMEOBOX 8); DNA binding / transcription factor | chr5:18648921-18650698 FORWARD", 228 bits (582),3.00E-60, 143/357 (40%)
Solyc09g091400.2.1,-0.77034324,5.166823953,6.89E-07,0.000107895,SL2.40ch09,66031095,66035023,"Receptor like kinase, RLK",AT3G24240.1 ,"leucine-rich repeat transmembrane protein kinase, putative | chr3:8780551-8784150 FORWARD", 1498 bits (3879),0, 750/1069 (70%)
Solyc10g005210.2.1,2.384924948,1.740113131,7.38E-07,0.000114569,SL2.40ch10,168532,170795,DNA-3-methyladenine glycosylase I (AHRD V1 ***- B4FWT0_MAIZE); contains Interpro domain(s)  IPR005019  Methyladenine glycosylase ,AT5G44680.1 ,methyladenine glycosylase family protein | chr5:18024461-18025893 REVERSE, 363 bits (932), e-101, 195/362 (53%)
Solyc03g093620.1.1,4.313841615,0.770509025,7.54E-07,0.000115994,SL2.40ch03,48598697,48599680,Sulfotransferase family protein (AHRD V1 **** D7KQF7_ARALY); contains Interpro domain(s)  IPR000863  Sulfotransferase ,AT3G45070.1 ,sulfotransferase family protein | chr3:16486378-16487349 REVERSE, 243 bits (620),1.00E-64, 127/312 (40%)
Solyc04g008330.1.1,-1.069714363,3.640168674,8.96E-07,0.00013658,SL2.40ch04,1993901,1995244,Glucosyltransferase (AHRD V1 **** Q2VA65_SOYBN); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ,AT3G53160.1 ,"UGT73C7 | UGT73C7 (UDP-glucosyl transferase 73C7); UDP-glycosyltransferase/ transferase, transferring glycosyl groups | chr3:19702485-19703957 REVERSE", 176 bits (447),2.00E-44, 142/479 (29%)
Solyc04g049190.1.1,1.646135967,5.165992884,9.60E-07,0.000145036,SL2.40ch04,39221521,39223377,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc04g058180.2.1,1.34638372,3.071347098,1.04E-06,0.000155477,SL2.40ch04,54409406,54414910,"Dehydration-responsive family protein (AHRD V1 **-- D7LDR4_ARALY); contains Interpro domain(s)  IPR004159  Protein of unknown function DUF248, methyltransferase putative ",AT1G77260.1 ,dehydration-responsive protein-related | chr1:29023961-29026699 REVERSE, 778 bits (2008),0, 366/651 (56%)
Solyc02g021260.1.1,1.367426966,6.149868367,1.14E-06,0.000168879,SL2.40ch02,13096096,13102938,B3 domain-containing protein LOC_Os12g40080 (AHRD V1 *-*- Y1208_ORYSJ); contains Interpro domain(s)  IPR003340  Transcriptional factor B3 ,AT3G18990.1 ,"VRN1, REM39 | VRN1 (REDUCED VERNALIZATION RESPONSE 1); transcription repressor | chr3:6549077-6551568 REVERSE", 86.3 bits (212),1.00E-16, 81/324 (25%)
Solyc07g043420.2.1,-0.607437999,10.73563804,1.17E-06,0.000172426,SL2.40ch07,54503345,54505070,2-oxoglutarate-dependent dioxygenase (AHRD V1 **-* Q9ZSH4_SOLCH); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ,AT5G24530.1 ,"DMR6 | DMR6 (DOWNY MILDEW RESISTANT 6); oxidoreductase/ oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors | chr5:8378964-8383154 FORWARD", 205 bits (522),3.00E-53, 124/335 (37%)
Solyc09g091110.2.1,-1.006477946,4.668657351,1.19E-06,0.000174266,SL2.40ch09,65811942,65813198,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc05g006570.1.1,0.68735822,6.680959658,1.21E-06,0.000175826,SL2.40ch05,1207083,1208915,"Receptor like kinase, RLK",AT1G27190.1 ,"leucine-rich repeat transmembrane protein kinase, putative | chr1:9446923-9448728 REVERSE", 733 bits (1891),0, 376/602 (62%)
Solyc07g043460.2.1,-0.530484705,8.073946001,1.37E-06,0.00019703,SL2.40ch07,54570495,54572614,"Cytochrome P450 (AHRD V1 ***- A9ZT56_COPJA); contains Interpro domain(s)  IPR002401  Cytochrome P450, E-class, group I ",AT3G14610.1 ,CYP72A7 | CYP72A7; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding | chr3:4912565-4914503 FORWARD, 466 bits (1198), e-131, 230/502 (45%)
Solyc00g044350.2.1,0.746300575,5.017464458,1.39E-06,0.000198491,,,,,,,,,
Solyc10g084150.1.1,-0.719339755,4.964343107,1.48E-06,0.000208351,SL2.40ch10,63129533,63133192,Cytokinin riboside 5&apos;-monophosphate phosphoribohydrolase LOG (AHRD V1 **-- LOG_ORYSJ); contains Interpro domain(s)  IPR005269  Conserved hypothetical protein CHP00730 ,AT2G37210.1 ,Encodes a protein of unknown function. It has been crystallized and shown to be structurally almost identical to the protein encoded by At5g11950. | chr2:15624253-15626834 REVERSE, 381 bits (978), e-106, 183/207 (88%)
Solyc10g086500.1.1,-0.593611202,5.909034283,1.77E-06,0.000247443,SL2.40ch10,64629234,64630007,"3-oxo-5-alpha-steroid 4-dehydrogenase family protein expressed (AHRD V1 ***- Q53NE6_ORYSJ); contains Interpro domain(s)  IPR016636  3-oxo-5-alpha-steroid 4-dehydrogenase  IPR001104  3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal ",AT2G38050.1 ,"DET2, DWF6, ATDET2 | DET2 (DE-ETIOLATED 2); sterol 5-alpha reductase | chr2:15921303-15922176 REVERSE", 295 bits (755),2.00E-80, 147/259 (56%)
Solyc03g033330.2.1,0.669467885,6.150200753,1.83E-06,0.000254611,SL2.40ch03,9190493,9193073,"RING finger protein 44 (AHRD V1 *-*- RNF44_MOUSE); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type ",AT4G35840.1 ,zinc finger (C3HC4-type RING finger) family protein | chr4:16981083-16982266 FORWARD, 339 bits (870),9.00E-94, 161/219 (73%)
Solyc01g101100.2.1,0.458256341,7.727721313,1.98E-06,0.000273003,SL2.40ch01,82707636,82712173,Receptor-like protein kinase (AHRD V1 ***- Q9LYS5_ARATH); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT1G56720.3 ,protein kinase family protein | chr1:21263630-21265559 REVERSE, 714 bits (1844),0, 373/508 (73%)
Solyc01g017330.1.1,-0.775455818,4.755539444,2.05E-06,0.000280359,SL2.40ch01,23937055,23937561,Photosystem I P700 chlorophyll a apoprotein A1 (AHRD V1 ***- D3WCE1_NEROL); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB ,ATCG00350.1 ,PSAA | Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome. | chrC:39605-41857 REVERSE, 199 bits (507),4.00E-52, 110/185 (59%)
Solyc02g077970.2.1,3.17424429,1.493236012,2.41E-06,0.000326625,SL2.40ch02,37370107,37371541,Late embryo abundance protein (Fragment) (AHRD V1 *-*- C6F8V9_PSEMZ),AT5G44310.2 ,late embryogenesis abundant domain-containing protein / LEA domain-containing protein | chr5:17847998-17849436 REVERSE, 112 bits (281),2.00E-25, 99/322 (30%)
Solyc07g043480.1.1,-0.48666535,7.446836272,2.58E-06,0.000347821,SL2.40ch07,54593070,54594440,UDP-glucose glucosyltransferase (AHRD V1 *-** D2KTV5_LOTJA); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ,AT3G50740.1 ,"UGT72E1 | UGT72E1 (UDP-glucosyl transferase 72E1); UDP-glycosyltransferase/ coniferyl-alcohol glucosyltransferase/ transferase, transferring glycosyl groups | chr3:18855348-18856811 REVERSE", 180 bits (457),2.00E-45, 103/250 (41%)
